CAMIS,DBA,Lat,Lng,Cuisine,Grade
50001549,E. SUSHI OF BROOKLYN,40.618115,-73.932373,Chinese/Japanese,A
50033769,NATIVIDAD RESTAURANT,40.7514315,-73.8636006,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
50033001,RONDEL,40.6083436,-73.9623027,Eastern European,A
40967336,THEATER CAFE,40.7099554,-73.8468269,American,A
41087273,CafÃ© Medi/ Jia Lounge,40.7197913,-73.9880413,American,A
41541736,ASIA ROMA,40.7148408,-73.9994067,American,A
41687110,KIKU JAPANESE CUISINE,40.5443521,-74.1656347,Japanese,B
50000846,JULESRUBY LOUNGE RENTAL,40.840629,-73.842029,American,A
50004133,FOGO DE CHAO,40.7611129,-73.9778368,Brazilian,A
40400638,CAFE PARIS,40.5785248,-73.9599464,Russian,A
41709719,MARKET PLACE (CENTERPLATE),40.7577555,-74.0026864,American,A
41313605,PAPA JOHN'S DELI,40.8476567,-73.7868584,Sandwiches,B
41254605,OCEAN 8 AT BROWNSTONE BILLIARDS,40.6773994,-73.9728592,American,A
41629694,NORTH END GRILL,40.715278,-74.0155468,Seafood,A
41614029,LUKE'S LOBSTER,40.727,-73.985264,Seafood,A
41362495,CC KITCHEN,40.6413111,-73.7781391,American,A
40606772,GEMINI DINER,40.745438,-73.9757256,American,A
50002618,TEA DRUNK,40.7264023,-73.984167,Chinese,A
50036496,TAQUERIA ACATLAN,40.6989841,-73.9145874,Mexican,C
40374192,ELIO'S,40.776849,-73.952839,Italian,B
50043592,FILTERED COFFEE BRONX,40.8086359,-73.9299641,CoffeeTea,A
41687410,ANI SUSHI,40.694385,-73.99368,Japanese,A
50004130,AVENUE P APPETIZER,40.6089002,-73.9702159,Jewish/Kosher,A
41630064,"DUNKIN' DONUTS, BASKIN ROBBINS",40.7144493,-73.8070988,Donuts,A
41139219,DOKEBI BAR AND GRILL,40.714214,-73.960284,Korean,B
50044395,INSA,40.679547,-73.982591,Korean,A
41373803,Z-ONE DINER & LOUNGE,40.604326,-74.162072,American,B
50037148,DUNKIN' DONUTS,40.5484465,-74.2218752,Donuts,A
41030858,LA MIA PIZZA,40.774359,-73.950917,Pizza,A
50002052,OTTO'S TACOS,40.7291249,-73.9875292,Mexican,A
